County,State Long,Annual Establishments,Annual Average Employment,Total Annual Wages,Annual Average Weekly Wage,Annual Wages per Employee,Annual Average Employment Location Quotient,Total Annual Wages Location Quotient,State
Oliver County, North Dakota,57,713,53815759,1452,75487,1,1,ND
Pembina County, North Dakota,389,3474,159985050,886,46058,1,1,ND
Pierce County, North Dakota,188,1731,73507020,817,42463,1,1,ND
Ramsey County, North Dakota,536,5700,226970403,766,39822,1,1,ND
Ransom County, North Dakota,258,2104,78297378,716,37211,1,1,ND
Renville County, North Dakota,134,726,28908574,766,39833,1,1,ND
Richland County, North Dakota,631,7884,329581886,804,41804,1,1,ND
Rolette County, North Dakota,260,4381,174904301,768,39924,1,1,ND
Sargent County, North Dakota,164,3382,151452615,861,44776,1,1,ND
Sheridan County, North Dakota,51,230,6173373,515,26802,1,1,ND
Sioux County, North Dakota,64,1552,67482330,836,43481,1,1,ND
Slope County, North Dakota,23,131,8215935,1205,62677,1,1,ND
Stark County, North Dakota,1434,19381,1201346678,1192,61986,1,1,ND
Steele County, North Dakota,81,590,29414009,959,49854,1,1,ND
Stutsman County, North Dakota,834,11099,484066822,839,43614,1,1,ND
Towner County, North Dakota,106,749,29514069,758,39405,1,1,ND
Traill County, North Dakota,371,3419,150183342,845,43925,1,1,ND
Walsh County, North Dakota,518,4996,201594227,776,40350,1,1,ND
Ward County, North Dakota,2390,31812,1587117962,959,49890,1,1,ND
Wells County, North Dakota,206,1477,52809398,687,35744,1,1,ND
Williams County, North Dakota,2049,28773,2284703860,1527,79404,1,1,ND
Unknown Or Undefined, North Dakota,752,2610,199237234,1468,76341,1,1,ND
Adams County, Ohio,603,6062,231513342,734,38193,1,1,OH
Allen County, Ohio,2489,50806,2299613066,870,45263,1,1,OH
Ashland County, Ohio,1141,18741,726615504,746,38771,1,1,OH
Ashtabula County, Ohio,2094,30788,1148200171,717,37293,1,1,OH
Athens County, Ohio,1230,20786,862351281,798,41487,1,1,OH
Auglaize County, Ohio,1061,21676,974419254,864,44953,1,1,OH
Belmont County, Ohio,1648,22619,938232281,798,41481,1,1,OH
Brown County, Ohio,669,8134,291725680,690,35865,1,1,OH
Butler County, Ohio,7878,155244,7659662128,949,49339,1,1,OH
Carroll County, Ohio,554,6107,225068429,709,36853,1,1,OH
Champaign County, Ohio,688,10857,454518195,805,41863,1,1,OH
Clark County, Ohio,2501,47978,1961889578,786,40891,1,1,OH
Clermont County, Ohio,4070,59392,2624415218,850,44188,1,1,OH
Clinton County, Ohio,843,17844,846020640,912,47413,1,1,OH
Columbiana County, Ohio,2119,29596,1123179369,730,37950,1,1,OH
Coshocton County, Ohio,718,10162,395193418,748,38891,1,1,OH
Crawford County, Ohio,925,12487,482431648,743,38635,1,1,OH
Cuyahoga County, Ohio,35935,726306,41594003519,1101,57268,1,1,OH
Darke County, Ohio,1218,18467,735635808,766,39836,1,1,OH
Defiance County, Ohio,866,15708,671297942,822,42737,1,1,OH
Delaware County, Ohio,5456,88400,4895035655,1065,55374,1,1,OH
Erie County, Ohio,1979,37444,1443875180,742,38561,1,1,OH
Fairfield County, Ohio,2991,43848,1686039093,739,38452,1,1,OH
Fayette County, Ohio,653,11551,413542594,688,35802,1,1,OH
Franklin County, Ohio,32557,756927,42657515083,1084,56356,1,1,OH
Fulton County, Ohio,1078,18537,777002079,806,41916,1,1,OH
Gallia County, Ohio,708,11139,433963189,749,38957,1,1,OH
Geauga County, Ohio,2927,35291,1530861815,834,43378,1,1,OH
Greene County, Ohio,3587,76062,4195783546,1061,55162,1,1,OH
Guernsey County, Ohio,950,15333,638838380,801,41665,1,1,OH
Hamilton County, Ohio,23882,518003,31291777324,1162,60409,1,1,OH
Hancock County, Ohio,1820,45584,2318171952,978,50855,1,1,OH
Hardin County, Ohio,525,8273,300110448,698,36276,1,1,OH
Harrison County, Ohio,343,3858,186147600,928,48247,1,1,OH
Henry County, Ohio,667,11022,461672281,806,41888,1,1,OH
Highland County, Ohio,769,10571,372185619,677,35208,1,1,OH
Hocking County, Ohio,533,6569,215591972,631,32821,1,1,OH
Holmes County, Ohio,1405,19846,794645128,770,40041,1,1,OH
Huron County, Ohio,1293,21198,891348585,809,42049,1,1,OH
Jackson County, Ohio,717,10248,359243916,674,35056,1,1,OH
Jefferson County, Ohio,1393,20421,843690600,795,41314,1,1,OH
Knox County, Ohio,1210,20274,872593510,828,43040,1,1,OH
Lake County, Ohio,6243,95888,4360873359,875,45479,1,1,OH
Lawrence County, Ohio,959,12486,438324328,675,35104,1,1,OH
Licking County, Ohio,3452,59764,2536056528,816,42435,1,1,OH
Logan County, Ohio,923,19828,912435389,885,46017,1,1,OH
Lorain County, Ohio,6180,98179,4259107777,834,43381,1,1,OH
Lucas County, Ohio,10126,209682,10161164668,932,48460,1,1,OH
Madison County, Ohio,859,17418,758390322,837,43540,1,1,OH
Mahoning County, Ohio,5915,97093,3826287976,758,39409,1,1,OH
Marion County, Ohio,1239,25044,1033331583,793,41261,1,1,OH
Medina County, Ohio,4575,61117,2642138866,831,43231,1,1,OH
Meigs County, Ohio,352,3644,114382912,604,31392,1,1,OH
Mercer County, Ohio,1106,20615,828919889,773,40210,1,1,OH
Miami County, Ohio,2313,40801,1755081692,827,43016,1,1,OH
Monroe County, Ohio,355,2801,100388247,689,35843,1,1,OH
Montgomery County, Ohio,11867,254530,12128967660,916,47652,1,1,OH
Morgan County, Ohio,211,2766,104177748,724,37659,1,1,OH
Morrow County, Ohio,472,5234,188139377,691,35948,1,1,OH
Muskingum County, Ohio,1851,33302,1344151308,776,40363,1,1,OH
Noble County, Ohio,271,3050,119455324,753,39166,1,1,OH
Ottawa County, Ohio,1142,13845,596278121,828,43068,1,1,OH
Paulding County, Ohio,398,4868,181119596,716,37209,1,1,OH
Perry County, Ohio,546,6442,259543589,775,40289,1,1,OH
Pickaway County, Ohio,929,14021,633745934,869,45199,1,1,OH
Pike County, Ohio,529,9804,485192340,952,49489,1,1,OH
Portage County, Ohio,3345,54759,2448043950,860,44706,1,1,OH
Preble County, Ohio,754,10763,422380843,755,39246,1,1,OH
Putnam County, Ohio,808,11833,456409250,742,38571,1,1,OH
Richland County, Ohio,2752,50624,2000100812,760,39509,1,1,OH
Ross County, Ohio,1379,29076,1294104702,856,44508,1,1,OH
Sandusky County, Ohio,1411,26028,1070396947,791,41125,1,1,OH
Scioto County, Ohio,1422,23273,892766823,738,38361,1,1,OH
Seneca County, Ohio,1154,19445,722974735,715,37180,1,1,OH
Shelby County, Ohio,1028,27427,1385076313,971,50500,1,1,OH
Stark County, Ohio,8607,159964,6734882939,810,42102,1,1,OH
Summit County, Ohio,14312,266930,13219171472,952,49523,1,1,OH
Trumbull County, Ohio,4279,66663,2737293259,790,41062,1,1,OH
Tuscarawas County, Ohio,2326,36563,1432672728,754,39183,1,1,OH
Union County, Ohio,1320,34321,2008811446,1126,58530,1,1,OH
Van Wert County, Ohio,629,11175,436985116,752,39103,1,1,OH
Vinton County, Ohio,210,2274,79961376,676,35170,1,1,OH
Warren County, Ohio,5138,94149,4921308500,1005,52272,1,1,OH
Washington County, Ohio,1612,25201,1165187638,889,46235,1,1,OH
Wayne County, Ohio,2731,48391,2204311852,876,45552,1,1,OH
Williams County, Ohio,884,17532,707494077,776,40355,1,1,OH
Wood County, Ohio,3040,66048,3075174767,895,46560,1,1,OH
Wyandot County, Ohio,575,9513,419223962,847,44070,1,1,OH
Unknown Or Undefined, Ohio,18122,120486,9919569068,1583,82330,1,1,OH
Adair County, Oklahoma,277,4502,146342971,625,32506,1,1,OK
Alfalfa County, Oklahoma,164,1511,66268613,844,43867,1,1,OK
Atoka County, Oklahoma,320,3360,109881219,629,32707,1,1,OK
Beaver County, Oklahoma,170,1732,80354520,892,46396,1,1,OK
Beckham County, Oklahoma,824,10418,522670050,965,50172,1,1,OK
Blaine County, Oklahoma,315,3126,133301490,820,42649,1,1,OK
Bryan County, Oklahoma,963,18308,701829160,737,38334,1,1,OK
Caddo County, Oklahoma,608,7636,315293856,794,41292,1,1,OK
Canadian County, Oklahoma,3099,36685,1699617560,891,46331,1,1,OK
Carter County, Oklahoma,1713,23705,1030539755,836,43474,1,1,OK
Cherokee County, Oklahoma,765,15512,549332334,681,35413,1,1,OK
Choctaw County, Oklahoma,349,4262,136798729,617,32099,1,1,OK
Cimarron County, Oklahoma,97,734,24485453,642,33370,1,1,OK
Cleveland County, Oklahoma,5880,81484,3284534729,775,40309,1,1,OK
Coal County, Oklahoma,107,1189,39995653,647,33631,1,1,OK
Comanche County, Oklahoma,2378,41916,1652537334,758,39425,1,1,OK
Cotton County, Oklahoma,109,1562,54885390,676,35132,1,1,OK
Craig County, Oklahoma,419,5428,191783832,679,35333,1,1,OK
Creek County, Oklahoma,1495,18733,809889941,831,43234,1,1,OK
Custer County, Oklahoma,987,12876,560734994,837,43549,1,1,OK
Delaware County, Oklahoma,801,8788,286059812,626,32552,1,1,OK
Dewey County, Oklahoma,191,1758,86896257,951,49429,1,1,OK
Ellis County, Oklahoma,140,1213,48338592,766,39837,1,1,OK
Garfield County, Oklahoma,1741,24277,1032670098,818,42537,1,1,OK
Garvin County, Oklahoma,794,9838,451742925,883,45920,1,1,OK
Grady County, Oklahoma,1189,13122,515900982,756,39316,1,1,OK
Grant County, Oklahoma,167,1379,69850150,974,50641,1,1,OK
Greer County, Oklahoma,110,1079,34561236,616,32023,1,1,OK
Harmon County, Oklahoma,72,646,21599453,643,33427,1,1,OK
Harper County, Oklahoma,142,1077,39669893,708,36831,1,1,OK
Haskell County, Oklahoma,246,3325,102542676,593,30841,1,1,OK
Hughes County, Oklahoma,282,3075,96746627,605,31467,1,1,OK
Jackson County, Oklahoma,650,9474,367516746,746,38793,1,1,OK
Jefferson County, Oklahoma,141,1134,35228676,598,31073,1,1,OK
Johnston County, Oklahoma,226,4471,124939251,537,27947,1,1,OK
Kay County, Oklahoma,1203,17933,763390298,819,42570,1,1,OK
Kingfisher County, Oklahoma,569,6810,344603790,973,50604,1,1,OK
Kiowa County, Oklahoma,230,1858,60157132,623,32386,1,1,OK
Latimer County, Oklahoma,195,2407,97607174,780,40546,1,1,OK
Le Flore County, Oklahoma,943,12528,458271408,703,36579,1,1,OK
Lincoln County, Oklahoma,646,6640,250494352,725,37725,1,1,OK
Logan County, Oklahoma,774,7508,265240771,679,35328,1,1,OK
Love County, Oklahoma,222,6156,212200932,663,34472,1,1,OK
McClain County, Oklahoma,1069,9728,371964214,735,38235,1,1,OK
McCurtain County, Oklahoma,705,10874,398627902,705,36658,1,1,OK
McIntosh County, Oklahoma,408,3931,117480805,575,29884,1,1,OK
Major County, Oklahoma,259,2547,108661538,820,42657,1,1,OK
Marshall County, Oklahoma,267,4204,155724661,712,37041,1,1,OK
Mayes County, Oklahoma,889,13110,572492637,840,43670,1,1,OK
Murray County, Oklahoma,379,5745,205970933,690,35854,1,1,OK
Muskogee County, Oklahoma,1535,29400,1192723111,780,40569,1,1,OK
Noble County, Oklahoma,255,4708,223104394,911,47392,1,1,OK
Nowata County, Oklahoma,182,1775,61244377,664,34504,1,1,OK
Okfuskee County, Oklahoma,203,2373,76839936,623,32385,1,1,OK
Oklahoma County, Oklahoma,28125,456649,24098249585,1015,52772,1,1,OK
Okmulgee County, Oklahoma,762,9553,356446748,718,37312,1,1,OK
Osage County, Oklahoma,582,6550,245859534,722,37536,1,1,OK
Ottawa County, Oklahoma,700,12286,400624212,627,32609,1,1,OK
Pawnee County, Oklahoma,300,3537,130460790,709,36888,1,1,OK
Payne County, Oklahoma,2018,33452,1381394705,794,41295,1,1,OK
Pittsburg County, Oklahoma,1041,16816,765189311,875,45503,1,1,OK
Pontotoc County, Oklahoma,1127,18548,811049648,841,43727,1,1,OK
Pottawatomie County, Oklahoma,1430,22339,784573189,675,35122,1,1,OK
Pushmataha County, Oklahoma,260,2549,79131301,597,31049,1,1,OK
Roger Mills County, Oklahoma,116,883,36952220,805,41856,1,1,OK
Rogers County, Oklahoma,1936,27190,1243518248,880,45734,1,1,OK
Seminole County, Oklahoma,516,7371,276332022,721,37489,1,1,OK
Sequoyah County, Oklahoma,698,8863,251154518,545,28337,1,1,OK
Stephens County, Oklahoma,1138,14381,608513079,814,42314,1,1,OK
Texas County, Oklahoma,556,9788,402461978,791,41118,1,1,OK
Tillman County, Oklahoma,187,1794,62630303,671,34906,1,1,OK
Tulsa County, Oklahoma,22529,356611,18084838005,975,50713,1,1,OK
Wagoner County, Oklahoma,783,9090,369313860,781,40630,1,1,OK
Washington County, Oklahoma,1273,19289,997994667,995,51739,1,1,OK
Washita County, Oklahoma,266,1971,73737349,720,37421,1,1,OK
Woods County, Oklahoma,332,3397,149337569,845,43958,1,1,OK
Woodward County, Oklahoma,831,8812,436862032,953,49574,1,1,OK
Unknown Or Undefined, Oklahoma,4188,24223,1606649340,1276,66328,1,1,OK
Baker County, Oregon,702,5543,203863190,707,36776,1,1,OR
Benton County, Oregon,2784,37987,1982564401,1004,52191,1,1,OR
Clackamas County, Oregon,15306,166021,8839999416,1024,53246,1,1,OR
Clatsop County, Oregon,1741,18820,712414879,728,37855,1,1,OR
Columbia County, Oregon,1313,11626,462246864,765,39760,1,1,OR
Coos County, Oregon,1966,23072,912738620,761,39561,1,1,OR
Crook County, Oregon,689,5892,269142935,878,45681,1,1,OR
Curry County, Oregon,837,6569,234338992,686,35674,1,1,OR
Deschutes County, Oregon,8880,83142,3789867370,877,45583,1,1,OR
Douglas County, Oregon,3241,38476,1569122680,784,40782,1,1,OR
Gilliam County, Oregon,120,815,34824545,822,42721,1,1,OR
Grant County, Oregon,333,2486,98423283,761,39598,1,1,OR
Harney County, Oregon,316,2464,91297471,713,37059,1,1,OR
Hood River County, Oregon,1384,14240,573663066,775,40287,1,1,OR
Jackson County, Oregon,7632,89685,3792192888,813,42284,1,1,OR
Jefferson County, Oregon,604,6935,276297028,766,39839,1,1,OR
Josephine County, Oregon,2626,27637,1015558021,707,36747,1,1,OR
Klamath County, Oregon,2154,23276,914871775,756,39306,1,1,OR
Lake County, Oregon,324,2554,102237886,770,40033,1,1,OR
Lane County, Oregon,12377,156693,6863049428,842,43799,1,1,OR
Lincoln County, Oregon,1925,18508,713414341,741,38547,1,1,OR
Linn County, Oregon,3640,47322,2076786911,844,43886,1,1,OR
Malheur County, Oregon,1067,12863,465132119,695,36160,1,1,OR
Marion County, Oregon,11133,156089,7245931490,893,46422,1,1,OR
Morrow County, Oregon,356,6242,330436306,1018,52935,1,1,OR
Multnomah County, Oregon,35617,511810,30697148424,1153,59978,1,1,OR
Polk County, Oregon,2008,20438,775482405,730,37943,1,1,OR
Sherman County, Oregon,113,855,39945724,899,46734,1,1,OR
Tillamook County, Oregon,987,9637,378479164,755,39274,1,1,OR
Umatilla County, Oregon,2271,30873,1242098644,774,40233,1,1,OR
Union County, Oregon,1002,10171,415875007,786,40890,1,1,OR
Wallowa County, Oregon,440,2572,93562835,700,36379,1,1,OR
Wasco County, Oregon,1060,11686,474569108,781,40610,1,1,OR
Washington County, Oregon,19632,295448,20772823988,1352,70310,1,1,OR
Wheeler County, Oregon,66,316,9469581,576,29935,1,1,OR
Yamhill County, Oregon,3289,36318,1536800843,814,42315,1,1,OR
Unknown Or Undefined, Oregon,5457,24838,1860289161,1440,74896,1,1,OR
Adams County, Pennsylvania,2182,35054,1462523105,802,41722,1,1,PA
Allegheny County, Pennsylvania,35424,701589,42661448289,1169,60807,1,1,PA
Armstrong County, Pennsylvania,1498,16502,673893119,785,40837,1,1,PA
Beaver County, Pennsylvania,3665,53038,2539373677,921,47878,1,1,PA
Bedford County, Pennsylvania,1219,15576,574913688,710,36910,1,1,PA
Berks County, Pennsylvania,8898,173543,8739258497,968,50358,1,1,PA
Blair County, Pennsylvania,3373,58360,2429696836,801,41633,1,1,PA
Bradford County, Pennsylvania,1609,22983,1085709833,908,47240,1,1,PA
Bucks County, Pennsylvania,19964,266459,13833857557,998,51917,1,1,PA
Butler County, Pennsylvania,5057,86073,4419788379,987,51349,1,1,PA
Cambria County, Pennsylvania,3484,50738,1997830029,757,39375,1,1,PA
Cameron County, Pennsylvania,148,1937,76881953,763,39698,1,1,PA
Carbon County, Pennsylvania,1260,16506,607342792,708,36796,1,1,PA
Centre County, Pennsylvania,3603,68848,3472781606,970,50441,1,1,PA
Chester County, Pennsylvania,15568,250994,17830408121,1366,71039,1,1,PA
Clarion County, Pennsylvania,1082,13206,482636990,703,36546,1,1,PA
Clearfield County, Pennsylvania,2152,29962,1205551475,774,40235,1,1,PA
Clinton County, Pennsylvania,913,13354,564695904,813,42288,1,1,PA
Columbia County, Pennsylvania,1568,24842,1005924518,779,40493,1,1,PA
Crawford County, Pennsylvania,2199,30166,1230670196,785,40796,1,1,PA
Cumberland County, Pennsylvania,6530,134494,6865760296,982,51049,1,1,PA
Dauphin County, Pennsylvania,7486,184668,10116871808,1054,54784,1,1,PA
Delaware County, Pennsylvania,14125,224758,13459833811,1152,59886,1,1,PA
Elk County, Pennsylvania,971,14994,657391991,843,43842,1,1,PA
Erie County, Pennsylvania,6906,122045,5151612973,812,42211,1,1,PA
Fayette County, Pennsylvania,2851,39233,1569173882,769,39996,1,1,PA
Forest County, Pennsylvania,167,1991,89859245,868,45123,1,1,PA
Franklin County, Pennsylvania,3302,59573,2596348899,838,43583,1,1,PA
Fulton County, Pennsylvania,322,5937,283430211,918,47738,1,1,PA
Greene County, Pennsylvania,805,12883,713596656,1065,55390,1,1,PA
Huntingdon County, Pennsylvania,975,12554,498779903,764,39730,1,1,PA
Indiana County, Pennsylvania,1967,29578,1357965628,883,45912,1,1,PA
Jefferson County, Pennsylvania,1222,15848,623454827,757,39340,1,1,PA
Juniata County, Pennsylvania,541,6825,244270972,688,35789,1,1,PA
Lackawanna County, Pennsylvania,5612,98100,4154011584,814,42345,1,1,PA
Lancaster County, Pennsylvania,13612,242390,11235847648,891,46354,1,1,PA
Lawrence County, Pennsylvania,1992,28611,1178193111,792,41179,1,1,PA
Lebanon County, Pennsylvania,2823,50417,2148229266,819,42609,1,1,PA
Lehigh County, Pennsylvania,8775,193076,10403533519,1036,53883,1,1,PA
Luzerne County, Pennsylvania,7389,144992,6369434312,845,43930,1,1,PA
Lycoming County, Pennsylvania,3151,51379,2274331723,851,44266,1,1,PA
Mckean County, Pennsylvania,1168,15181,635380258,805,41854,1,1,PA
Mercer County, Pennsylvania,2929,46266,1960089026,815,42366,1,1,PA
Mifflin County, Pennsylvania,1046,15811,628327242,764,39741,1,1,PA
Monroe County, Pennsylvania,3550,56496,2410115843,820,42660,1,1,PA
Montgomery County, Pennsylvania,27600,496639,34521679546,1337,69511,1,1,PA
Montour County, Pennsylvania,457,15609,1067666908,1315,68403,1,1,PA
Northampton County, Pennsylvania,6763,115458,5499719123,916,47634,1,1,PA
Northumberland County, Pennsylvania,1876,27740,1108931519,769,39976,1,1,PA
Perry County, Pennsylvania,898,7791,256885173,634,32974,1,1,PA
Philadelphia County, Pennsylvania,34483,687785,45282499415,1266,65838,1,1,PA
Pike County, Pennsylvania,1050,11502,387989056,649,33733,1,1,PA
Potter County, Pennsylvania,458,5460,230966717,814,42305,1,1,PA
Schuylkill County, Pennsylvania,3042,49390,2107783333,821,42677,1,1,PA
Snyder County, Pennsylvania,967,16433,601768755,704,36619,1,1,PA
Somerset County, Pennsylvania,1887,24268,975189680,773,40184,1,1,PA
Sullivan County, Pennsylvania,205,1569,58691056,719,37401,1,1,PA
Susquehanna County, Pennsylvania,992,9069,375280779,796,41379,1,1,PA
Tioga County, Pennsylvania,1080,12546,527397968,808,42038,1,1,PA
Union County, Pennsylvania,1011,17740,785619698,852,44285,1,1,PA
Venango County, Pennsylvania,1255,17875,708433757,762,39632,1,1,PA
Warren County, Pennsylvania,1070,14516,604900288,801,41672,1,1,PA
Washington County, Pennsylvania,5504,88039,4997702803,1092,56767,1,1,PA
Wayne County, Pennsylvania,1424,15099,603017578,768,39939,1,1,PA
Westmoreland County, Pennsylvania,9246,133707,6091648473,876,45560,1,1,PA
Wyoming County, Pennsylvania,717,9592,475485962,953,49572,1,1,PA
York County, Pennsylvania,9171,179348,8753357356,939,48807,1,1,PA
